original_address	engagement_date	mar_full_address	mar_latitude	mar_longitude	mar_ward	mar_census_tract	mar_cluster	mar_anc	mar_psa	mar_precinct	mar_zip	mar_has_condo	mar_has_res	mar_res_type	mar_confidence	mar_x	mar_y	mar_id	diagnostic
"1700 K St NW"	"5/9/2017"	"1700 K STREET NW"	"38.90217607"	"-77.03983320"	"Ward 2"	"010700"	"Cluster 6"	"ANC 2B"	"Police Service Area 207"	"Precinct 17"	"20006"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396544.82"	"137147.58"	"243334"	"address matched (1)"
"1701 Corcoran St NW"	"9/20/2016"	"1701 CORCORAN STREET NW"	"38.91205006"	"-77.03895354"	"Ward 2"	"005301"	"Cluster 6"	"ANC 2B"	"Police Service Area 301"	"Precinct 15"	"20009"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396621.59"	"138243.64"	"241699"	"address matched (1)"
"1701 Corcoran St NW"	"6/1/2017"	"1701 CORCORAN STREET NW"	"38.91205006"	"-77.03895354"	"Ward 2"	"005301"	"Cluster 6"	"ANC 2B"	"Police Service Area 301"	"Precinct 15"	"20009"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396621.59"	"138243.64"	"241699"	"address matched (1)"
"17th and Cocoran NW"	"2/6/2018"	""	"38.91186959874630"	"-77.03848370783690"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"907402"	"address matched (1)"
"17th and Cocoran NW"	"3/6/2018"	""	"38.91186959874630"	"-77.03848370783690"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"907402"	"address matched (1)"
"17th & Corcoran NW"	"10/10/2017"	""	"38.91186959874630"	"-77.03848370783690"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"907402"	"address matched (1)"
"17th & Corcoran St NW (Safeway)"	"3/2/2017"	""	"38.91186959874630"	"-77.03848370783690"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"907402"	"address matched (1)"
"17th and Corcoran Streets, NW"	"6/15/2015"	""	"38.91186959874630"	"-77.03848370783690"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"907402"	"address matched (1)"
"17th and L NW"	"5/8/2018"	""	"38.90374271045250"	"-77.03850882595330"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"906899"	"address matched (1)"
"1800 Minnesota Ave SE"	"12/11/2018"	"1800 MINNESOTA AVENUE SE"	"38.86971444"	"-76.97866311"	"Ward 8"	"007601"	"Cluster 34"	"ANC 8A"	"Police Service Area 607"	"Precinct 140"	"20020"	"N"	"Y"	"RESIDENTIAL"	"100.0"	"401851.63"	"133543.55"	"56154"	"address matched (1)"
"1900 Montana Ave, NE"	"5/15/2015"	"1933 MONTANA AVENUE NE"	"38.91537196"	"-76.97694752"	"Ward 5"	"008804"	"Cluster 23"	"ANC 5C"	"Police Service Area 506"	"Precinct 76"	"20002"	"N"	"N"	"RESIDENTIAL"	"82.0"	"401999.23"	"138611.93"	"286545"	"address matched (1)"
"1913 Mass Ave NW"	"10/9/2018"	"1913 MASSACHUSETTS AVENUE NW"	"38.91027338"	"-77.04423867"	"Ward 2"	"005500"	"Cluster 6"	"ANC 2B"	"Police Service Area 208"	"Precinct 14"	"20036"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396163.12"	"138046.66"	"300942"	"address matched (1)"
"200 H NW"	"7/12/2018"	"200 H STREET NW"	"38.89982745"	"-77.01400395"	"Ward 6"	"004702"	"Cluster 8"	"ANC 6E"	"Police Service Area 101"	"Precinct 1"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"85.0"	"398785.24"	"136886.24"	"314608"	"address matched (1)"
"2016 Georgia Ave NW"	"8/29/2017"	"2016 GEORGIA AVENUE NW"	"38.91689634"	"-77.02217097"	"Ward 1"	"003500"	"Cluster 3"	"ANC 1B"	"Police Service Area 305"	"Precinct 37"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398077.26"	"138781.13"	"232289"	"address matched (1)"
"2016 Georgia Ave NW"	"9/21/2017"	"2016 GEORGIA AVENUE NW"	"38.91689634"	"-77.02217097"	"Ward 1"	"003500"	"Cluster 3"	"ANC 1B"	"Police Service Area 305"	"Precinct 37"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398077.26"	"138781.13"	"232289"	"address matched (1)"
"2016 Georgia Ave NW"	"2/1/2018"	"2016 GEORGIA AVENUE NW"	"38.91689634"	"-77.02217097"	"Ward 1"	"003500"	"Cluster 3"	"ANC 1B"	"Police Service Area 305"	"Precinct 37"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398077.26"	"138781.13"	"232289"	"address matched (1)"
"2016 Georgia Ave NW"	"2/3/2016"	"2016 GEORGIA AVENUE NW"	"38.91689634"	"-77.02217097"	"Ward 1"	"003500"	"Cluster 3"	"ANC 1B"	"Police Service Area 305"	"Precinct 37"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398077.26"	"138781.13"	"232289"	"address matched (1)"
"2016 Georgia Ave NW"	"4/27/2017"	"2016 GEORGIA AVENUE NW"	"38.91689634"	"-77.02217097"	"Ward 1"	"003500"	"Cluster 3"	"ANC 1B"	"Police Service Area 305"	"Precinct 37"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398077.26"	"138781.13"	"232289"	"address matched (1)"
"2016 Georgia Ave NW"	"4/13/2017"	"2016 GEORGIA AVENUE NW"	"38.91689634"	"-77.02217097"	"Ward 1"	"003500"	"Cluster 3"	"ANC 1B"	"Police Service Area 305"	"Precinct 37"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398077.26"	"138781.13"	"232289"	"address matched (1)"
"2016 Georgia Avenue NW"	"9/8/2016"	"2016 GEORGIA AVENUE NW"	"38.91689634"	"-77.02217097"	"Ward 1"	"003500"	"Cluster 3"	"ANC 1B"	"Police Service Area 305"	"Precinct 37"	"20001"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"398077.26"	"138781.13"	"232289"	"address matched (1)"
"20th Street between E Street and Virginia Ave, NW"	"9/15/2015"	""	"38.89494450466310"	"-77.04492068710340"	"Ward 2"	""	""	""	""	""	""	""	""	""	"88.27"	""	""	"803442"	"address matched (1)"
"20th and Penn Ave NW"	"5/17/2016"	""	"38.90070543538230"	"-77.04489951471330"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"904189"	"address matched (1)"
"21st and VA NW"	"2/8/2018"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902980"	"address matched (1)"
"21st and VA NW"	"11/29/2018"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902980"	"address matched (1)"
"21st and VA NW"	"7/26/2018"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902980"	"address matched (1)"
"21st and VA NW"	"3/29/2018"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902980"	"address matched (1)"
"21st and VA NW"	"5/31/2018"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902980"	"address matched (1)"
"21st and VA NW"	"9/4/2018"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902980"	"address matched (1)"
"21st & Virginia Ave NW"	"11/2/2017"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"902980"	"address matched (1)"
"21st & Virginia Ave NW"	"11/7/2017"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"902980"	"address matched (1)"
"21st & Virginia Ave NW"	"10/5/2017"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"902980"	"address matched (1)"
"21st & Virginia NW"	"10/12/2017"	""	"38.89531646888030"	"-77.046681795002"	"Ward 2"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"902980"	"address matched (1)"
"2210 Adams Place NE"	"8/24/2017"	"2210 ADAMS PLACE NE"	"38.91962229"	"-76.97487627"	"Ward 5"	"011100"	"Cluster 22"	"ANC 5C"	"Police Service Area 505"	"Precinct 72"	"20018"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"402178.73"	"139083.80"	"50358"	"address matched (1)"
"2300 E St Expressway NW"	"11/9/2017"	"2300 E STREET NW"	"38.89560396"	"-77.05054202"	"Ward 2"	"006202"	"null"	"ANC 2A"	"Police Service Area 207"	"Precinct 3"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395615.52"	"136418.52"	"291842"	"address matched (1)"
"2300 E Street, NW"	"11/15/2015"	"2300 E STREET NW"	"38.89560396"	"-77.05054202"	"Ward 2"	"006202"	"null"	"ANC 2A"	"Police Service Area 207"	"Precinct 3"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395615.52"	"136418.52"	"291842"	"address matched (1)"
"2300 E St Expressway NW"	"3/23/2017"	"2300 E STREET NW"	"38.89560396"	"-77.05054202"	"Ward 2"	"006202"	"null"	"ANC 2A"	"Police Service Area 207"	"Precinct 3"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395615.52"	"136418.52"	"291842"	"address matched (1)"
"2300 E St Expressway NW"	"11/16/2017"	"2300 E STREET NW"	"38.89560396"	"-77.05054202"	"Ward 2"	"006202"	"null"	"ANC 2A"	"Police Service Area 207"	"Precinct 3"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"395615.52"	"136418.52"	"291842"	"address matched (1)"
"2600 L St NW"	"2/16/2017"	"2590 L STREET NW"	"38.90357932"	"-77.05451437"	"Ward 2"	"005600"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"88.0"	"395271.45"	"137304.01"	"302533"	"address matched (1)"
"2600 L St NW"	"11/10/2016"	"2590 L STREET NW"	"38.90357932"	"-77.05451437"	"Ward 2"	"005600"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"88.0"	"395271.45"	"137304.01"	"302533"	"address matched (1)"
"2600 L St NW"	"12/8/2016"	"2590 L STREET NW"	"38.90357932"	"-77.05451437"	"Ward 2"	"005600"	"Cluster 5"	"ANC 2A"	"Police Service Area 207"	"Precinct 4"	"20037"	"N"	"N"	"NON RESIDENTIAL"	"88.0"	"395271.45"	"137304.01"	"302533"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"7/28/2016"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"11/3/2016"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"7/10/2018"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"5/2/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"12/12/2016"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"12/4/2018"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"3/15/2018"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"7/18/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"7/13/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"4/5/2018"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"2/16/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"12/15/2015"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"8/16/2018"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"12/7/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"5/10/2018"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"2/14/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"9/1/2016"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"10/4/2016"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"4/4/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"11/15/2015"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"11/15/2015"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"27th & K St Encampment"	"1/12/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"6/27/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"10/5/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"Whitehurst Freeway - 26th/27th and K NW"	"9/19/2017"	""	"38.90253128184050"	"-77.05610571973090"	"Ward 2"	""	""	""	""	""	""	""	""	""	"100.0"	""	""	"900014"	"address matched (1)"
"295 overpass at Sousa Bridge"	"12/15/2015"	"200 ATLANTIC STREET SE"	"38.83116043"	"-77.00295114"	"Ward 8"	"009801"	"Cluster 39"	"ANC 8C"	"Police Service Area 708"	"Precinct 121"	"20032"	"N"	"Y"	"RESIDENTIAL"	"31.62"	"399743.76"	"129263.57"	"53083"	"address matched (1)"
"295 overpass at Sousa Bridge"	"1/26/2017"	"200 ATLANTIC STREET SE"	"38.83116043"	"-77.00295114"	"Ward 8"	"009801"	"Cluster 39"	"ANC 8C"	"Police Service Area 708"	"Precinct 121"	"20032"	"N"	"Y"	"RESIDENTIAL"	"31.62"	"399743.76"	"129263.57"	"53083"	"address matched (1)"
"295 overpass at Sousa Bridge"	"3/1/2018"	"200 ATLANTIC STREET SE"	"38.83116043"	"-77.00295114"	"Ward 8"	"009801"	"Cluster 39"	"ANC 8C"	"Police Service Area 708"	"Precinct 121"	"20032"	"N"	"Y"	"RESIDENTIAL"	"31.62"	"399743.76"	"129263.57"	"53083"	"address matched (1)"
"295 overpass at Sousa Bridge"	"6/22/2017"	"200 ATLANTIC STREET SE"	"38.83116043"	"-77.00295114"	"Ward 8"	"009801"	"Cluster 39"	"ANC 8C"	"Police Service Area 708"	"Precinct 121"	"20032"	"N"	"Y"	"RESIDENTIAL"	"31.62"	"399743.76"	"129263.57"	"53083"	"address matched (1)"
"295 overpass at Sousa Bridge"	"3/8/2016"	"200 ATLANTIC STREET SE"	"38.83116043"	"-77.00295114"	"Ward 8"	"009801"	"Cluster 39"	"ANC 8C"	"Police Service Area 708"	"Precinct 121"	"20032"	"N"	"Y"	"RESIDENTIAL"	"31.62"	"399743.76"	"129263.57"	"53083"	"address matched (1)"
"295 overpass at Sousa Bridge"	"9/27/2016"	"200 ATLANTIC STREET SE"	"38.83116043"	"-77.00295114"	"Ward 8"	"009801"	"Cluster 39"	"ANC 8C"	"Police Service Area 708"	"Precinct 121"	"20032"	"N"	"Y"	"RESIDENTIAL"	"31.62"	"399743.76"	"129263.57"	"53083"	"address matched (1)"
"2nd and D NW"	"5/30/2017"	""	"38.89477622998660"	"-77.01366944496660"	"Ward 6"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"913400"	"address matched (1)"
"2nd & E St SW"	"1/10/2017"	""	"38.88326154302370"	"-77.013694826635"	"Ward 6"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"902794"	"address matched (1)"
"2nd & H NW"	"5/16/2017"	""	"38.9002040092"	"-77.01367834735860"	"Ward 6"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"901026"	"address matched (1)"
"2nd and Mass NW Bus Stop"	"4/18/2017"	""	"38.899288318459"	"-77.01365975599580"	"Ward 6"	""	""	""	""	""	""	""	""	""	"62.5"	""	""	"904834"	"address matched (1)"
"2nd & NJ Ave NW"	"11/1/2016"	""	"38.90205586040220"	"-77.01364885151090"	"Ward 6"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"901027"	"address matched (1)"
"2nd & NJ Ave NW and CCNV Fence"	"10/11/2016"	""	"38.90205586040220"	"-77.01364885151090"	"Ward 6"	""	""	""	""	""	""	""	""	""	"75.0"	""	""	"901027"	"address matched (1)"
"3149 16th St NW"	"12/18/2018"	"3149 16TH STREET NW"	"38.93014933"	"-77.036106"	"Ward 1"	"002802"	"Cluster 2"	"ANC 1A"	"Police Service Area 302"	"Precinct 39"	"20010"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396869.35"	"140252.71"	"234376"	"address matched (1)"
"3149 16th Street, NW (Old DPR headquarter)"	"12/15/2015"	"3149 16TH STREET NW"	"38.93014933"	"-77.036106"	"Ward 1"	"002802"	"Cluster 2"	"ANC 1A"	"Police Service Area 302"	"Precinct 39"	"20010"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396869.35"	"140252.71"	"234376"	"address matched (1)"
"3149 16th street, NW (old DPR headquarters)"	"6/15/2015"	"3149 16TH STREET NW"	"38.93014933"	"-77.036106"	"Ward 1"	"002802"	"Cluster 2"	"ANC 1A"	"Police Service Area 302"	"Precinct 39"	"20010"	"N"	"N"	"NON RESIDENTIAL"	"100.0"	"396869.35"	"140252.71"	"234376"	"address matched (1)"
"320 Florida Ave, NE (behind Burger King)"	"12/15/2015"	"320 FLORIDA AVENUE NE"	"38.90785884"	"-77.00146332"	"Ward 5"	"008803"	"Cluster 23"	"ANC 5D"	"Police Service Area 501"	"Precinct 76"	"20002"	"N"	"Y"	"MIXED USE"	"100.0"	"399873.08"	"137777.66"	"287746"	"address matched (1)"
