"","NAME","WEB_URL","ADDRESS","�..X","Y","OBJECTID","RELIGION","XCOORD","YCOORD","PLACE_OF_WORSHIP","Is_Place_Of_Worship","GIS_ID","ADDRID","denomination","manual_lookup"
"14","AMERICAN FAZAL MOSQUE","AHMADIYYA.US","2141 LEROY PLACE NORTHWEST",-77.0482882523339,38.9156075601465,765,"ISLAMIC",395812.40625,138638.109375,"MOSQUES",1,"",NA,NA,NA
"15","Anacostia Full Gospel","","1320 U STREET SE",-76.9865561521178,38.8663001395001,659,"CHRISTIAN",401166.92,133163.58,"CHURCHES",1,"pow_298",67782,"BAPTIST",NA
"16","ANACOSTIA GOSPEL CHAPEL","","1100 SAVANNAH ST SE",-76.991277102331,38.8430231631845,505,"CHRISTIAN",400757.46,130579.62,"CHURCHES",1,"",NA,"BAPTIST",NA
"17","ANACOSTIA INTERNATIONAL","","1716 V ST SE",-76.9793382058384,38.8642384106087,204,"CHRISTIAN",401793.38,132934.83,"CHURCHES",1,"",NA,"",""
"18","ANACOSTIA RIVER BAPTIST CHURCH","ANACOSTIARIVERCHURCH.ORG","2420 HILLSDALE PL SE",-76.9865216079354,38.8570192105837,602,"CHRISTIAN",401170.07,132133.33,"CHURCHES",1,"",NA,"BAPTIST",NA
"19","ANDREW RANKIN MEMORIAL CHAPEL","CHAPEL.HOWARD.EDU","2455 6TH ST NW",-77.0209836697892,38.9245365018092,504,"CHRISTIAN",398180.62,139628.4,"CHURCHES",1,"",NA,"",""
"20","ANNUNCIATION CATHOLIC CHURCH","ANNUNCIATIONDC.ORG","3810 MASSACHUSETTS AVENUE NW",-77.075819778581,38.9301565098843,686,"CHRISTIAN",393426.08,140254.79,"CHURCHES",1,"pow_784",263608,"CATHOLIC",NA
"21","ANSAARU ALLAH COMMUNITY CHURCH","","818 RHODE ISLAND AVENUE NORTHWEST",-77.0237962553325,38.9114250215798,760,"ISLAMIC",397936.34375,138172.96875,"MOSQUES",1,"",NA,NA,NA
"22","ANTIOCH BAPTIST CHURCH/DC","ANTIOCHABC.ORG","1105 50TH ST NE",-76.9282751475283,38.9050115215892,223,"CHRISTIAN",406221.45,137463.2,"CHURCHES",1,"",NA,"BAPTIST",NA
"23","Apostolic Evangelical Church of Jesus Christ","","354 EASTERN AVENUE NE",-76.9112584052692,38.8940153053959,683,"CHRISTIAN",407698.63,136243.83,"CHURCHES",1,"pow_754",33319,"PENTACOST",NA
"24","APOSTOLIC FAITH CHURCH","APOSTOLICFAITHDC.ORG","1325 BRANCH AVE SE",-76.9612520172033,38.8736196720862,298,"CHRISTIAN",403362.59,133976.73,"CHURCHES",1,"",NA,"PENTACOST",NA
"25","ARABIC BAPTIST CHURCH","ABCDC.ORG","4605 MASSACHUSETTS AVE NW",-77.0913071277033,38.9423487161911,434,"CHRISTIAN",392084.57,141609.46,"CHURCHES",1,"",NA,"BAPTIST",NA
"26","ARK FOUNDATION CHURCH","<Null>","5421 5TH ST NW",-77.0196246093759,38.95597910441,488,"CHRISTIAN",398299.22,143118.78,"CHURCHES",1,"",NA,"NON-DENOMINATIONAL","NON-DENOMINATIONAL"
"27","ASSUMPTION RC CHURCH","ASSUMPTIONDC.ORG","220 HIGHVIEW PL SE",-77.0044469103076,38.8415941236781,343,"CHRISTIAN",399614.14,130420.96,"CHURCHES",1,"",NA,"",""
"28","AUGUSTANA LUTHERAN CHURCH","AUGUSTANADC.ORG","2100 NEW HAMPSHIRE AVE NW",-77.0354643006179,38.9185893111407,138,"CHRISTIAN",396924.69,138968.6,"CHURCHES",1,"",NA,"LUTHERAN",NA
"29","BALM IN GILEAD MINISTRIES","","5825 COLORADO AVE NW",-77.0289686176536,38.9604962472348,584,"CHRISTIAN",397489.48,143620.44,"CHURCHES",1,"",NA,"",""
"30","BASILICA-THE NATIONAL SHRINE","NATIONALSHRINE.COM","400 MICHIGAN AVE NE",-77.0006758471882,38.9333621161833,421,"CHRISTIAN",399941.6,140607.91,"CHURCHES",1,"",NA,"CATHOLIC",NA
"31","Beauty for Ashes Multicultural Worship Center","","1229 47TH PLACE NE",-76.9345753666343,38.9070642593262,632,"CHRISTIAN",405674.82,137690.66,"CHURCHES",1,"pow_430",70669,"",""
"32","Beginning Church of God","","1235 S STREET NW",-77.0293887930787,38.9142376297257,633,"CHRISTIAN",397451.41,138485.34,"CHURCHES",1,"pow_433",278992,"",""
"33","BEREAN ETHIOPIAN ADVENTIST GRP","BEREANETHIOPIANDC.ADVENTISTCHURCH.ORG","5101 16TH ST NW",-77.035981133859,38.9521939933205,587,"CHRISTIAN",396881.34,142699.03,"CHURCHES",1,"",NA,"SEVENTH DAY ADVENTIST",NA
"34","BET MISHPACHAH","BETMISH.ORG","1529 16TH STREET NORTHWEST",-77.0360309858648,38.9109129087014,762,"JEWISH",396875.21875,138116.46875,"SYNAGOGUES",1,"",NA,NA,NA
"35","BETHEL CAPITOL CHURCH","BETHELCAPITOLCHURCH.ORG","6130 N CAPITOL ST NW",-77.0099356060576,38.9649273310508,418,"CHRISTIAN",399139.13,144111.98,"CHURCHES",1,"",NA,"",""
"36","BETHEL CHRISTIAN CHURCH","BETHELDC.ORG","2217 MINNESOTA AVE SE",-76.9739735681633,38.8715880213973,228,"CHRISTIAN",402258.73,133750.81,"CHURCHES",1,"",NA,"",""
"37","BETHEL CHRISTIAN FELLOWSHIP","","2220 MARTIN LUTHER KING JR AVE",-76.9899078526947,38.8641199003379,229,"CHRISTIAN",400876.07,132921.52,"CHURCHES",1,"",NA,"",""
"38","Bethel Commandment Church of Living God","<Null>","1627 KENILWORTH AVENUE NE",-76.9339941157214,38.9117356613468,611,"CHRISTIAN",405724.86,138209.26,"CHURCHES",1,"pow_3",150101,"NON-DENOMINATIONAL","NON-DENOMINATIONAL"
"39","Bethel Pentecostal Tabernacle","","60 I STREET SW",-77.0112259452588,38.8790231216788,650,"CHRISTIAN",399026.13,134575.9,"CHURCHES",1,"pow_252",276677,"PENTACOST",NA
"40","BETHESDA BAPTIST CHURCH","BETHESDAWEB.ORG","1808 CAPITOL AVE NE",-76.9861445192577,38.9110283110624,54,"CHRISTIAN",401201.89,138128.76,"CHURCHES",1,"",NA,"BAPTIST",NA
"41","BETHESDA NEW LIFE GOSPEL CHR","BNLGCHURCH.ORG","750 KENILWORTH AVE NE",-76.9464841799,38.9008596002334,263,"CHRISTIAN",404642.31,137001.22,"CHURCHES",1,"",NA,"BAPTIST",NA
"42","BETHLEHEM BAPTIST CHURCH","BETHLEHEMBAPTISTDC.ORG","2458 MARTIN LUTHER KING JR AVE",-76.9932531772868,38.8614031123965,379,"CHRISTIAN",400585.76,132619.91,"CHURCHES",1,"",NA,"BAPTIST",NA
"43","BETHLEHEM CHURCH-GOD HOLINESS","","5898 EASTERN AVE NE",-76.9974457878949,38.9613082995184,389,"CHRISTIAN",400221.57,143710.19,"CHURCHES",1,"",NA,"CHURCH OF GOD – CONGREGATIONALIST","CHURCH OF GOD – CONGREGATIONALIST"
"44","Bethlehem Fire Baptized Holiness Church","FBHCHURCH.ORG","712 15TH STREET NE",-76.9839085899955,38.8994319334448,628,"CHRISTIAN",401396.04,136841.5,"CHURCHES",1,"pow_233",288893,"BAPTIST",NA
"45","BETHUEL TEMPLE CHURCH","BETHUELTEMPLE.COM","2406 MARTIN LUTHER KING JR AVE",-76.9924212999436,38.862410833301,380,"CHRISTIAN",400657.95,132731.78,"CHURCHES",1,"",NA,"",""
"46","BEULAH BAPTIST OF DEANWOOD HTS","","5820 DIX ST NE",-76.9167693363882,38.8947142677651,264,"CHRISTIAN",407220.48,136320.97,"CHURCHES",1,"",NA,"BAPTIST",NA
"47","BIBLE WAY TEMPLE","BIBLEWAYWASHINGTON.ORG","1100 NEW JERSEY AVENUE NORTHWEST",-77.0149988537644,38.9046153518492,735,"CHRISTIAN",398699.21875,137416.890625,"CHURCHES",1,"",NA,"BIBLE","BIBLE"
"48","BRIGHT PEARL ZEN GROUP OF WASHINGTON","","6813 FIFTH STREET",-77.0196261256844,38.9730907086168,771,"BUDDHIST",398299.5,145018.328125,"TEMPLES",1,"",NA,NA,NA
"49","BRIGHTER DAY MINISTRIES","BRIGHTERDAYDC.ORG","2525 12TH PL SE",-76.9853383446426,38.8515582470445,220,"CHRISTIAN",401272.87,131527.14,"CHURCHES",1,"",NA,"",""
"50","BROOKLAND UNION BAPTIST CHURCH","BROOKLANDUNIONBAPTIST.ORG","3101 14TH ST NE",-76.9857232991933,38.9290370781042,218,"CHRISTIAN",401238.11,140127.89,"CHURCHES",1,"",NA,"BAPTIST",NA
"51","BROTHERHOOD OF THE CROSS-STAR","OOO-BCSUSA.ORG/WASHINGTON-DC-BETHEL","916 RITTENHOUSE ST NW",-77.0271803584507,38.9647642470124,395,"CHRISTIAN",397644.61,144094.18,"CHURCHES",1,"",NA,"",""
"52","BROWN MEMORIAL AME CHURCH","BROWNMEMORIALAMEC.ORG","130 14TH ST NE",-76.9863581474496,38.891851703966,63,"CHRISTIAN",401183.68,136000,"CHURCHES",1,"",NA,"METHODIST",NA
"53","BUDDHIST CONGREGATIONAL CHURCH","www.GIACHOANGTEMPLE.COM","5401 16TH ST NW",-77.0357932792524,38.9553343340045,404,"CHRISTIAN",396897.76,143047.63,"CHURCHES",1,"",NA,"",""
"54","Bunton Memorial CME","","1348 LAWRENCE STREET NE",-76.9868821530516,38.9320139198085,684,"CHRISTIAN",401137.58,140458.33,"CHURCHES",1,"pow_764",289604,"METHODIST",NA
"55","CALVARY BAPTIST CHURCH","CALVARYDC.ORG","755 8TH ST NW",-77.0226837027425,38.89940336322,1,"CHRISTIAN",398032.51,136838.45,"CHURCHES",1,"",NA,"BAPTIST",NA
"56","CALVARY CHRISTIAN CHURCH","CALVARYCHRISTIAN.WEBS.COM","909 11TH ST SE",-76.991774390813,38.8789066230984,114,"CHRISTIAN",400713.93,134562.94,"CHURCHES",1,"",NA,"OTHER CHRISTIAN","OTHER CHRISTIAN"
"57","CALVARY EPISCOPAL CHURCH","CALVARYDC.NET","820 6TH STREET NORTHEAST",-76.9987443114868,38.9008759397254,766,"CHRISTIAN",400109.125,137001.671875,"CHURCHES",1,"",NA,"EPISCOPAL",NA
"58","CALVARY LIFE CTR","","304 KENNEDY ST NW",-77.0164067240424,38.9563448854754,414,"CHRISTIAN",398578.14,143159.33,"CHURCHES",1,"",NA,"",""
"59","CAMPBELL A M E CHURCH","CAMPBELLAME.ORG","2562 MARTIN LUTHER KING JR AVE",-76.9946958688226,38.8594914195103,373,"CHRISTIAN",400460.56,132407.69,"CHURCHES",1,"",NA,"METHODIST",NA
"60","CANAAN BAPTIST CHURCH","CANAANBAPT.COM","1607 MONROE ST NW",-77.0369367578291,38.9331336857889,156,"CHRISTIAN",396797.65,140583.2,"CHURCHES",1,"",NA,"BAPTIST",NA
"61","CAPITAL CITY CHURCH","CAPCITYCHURCH.COM","1333 H ST NE",-76.9958817358049,38.880453400914,117,"CHRISTIAN",400357.53,134734.62,"CHURCHES",1,"",NA,"",""
"62","CAPITAL MEMORIAL SEVENTH-DAY","CAPITALMEMORIAL.ORG","3150 CHESAPEAKE ST NW",-77.0639655078569,38.9502110200717,185,"CHRISTIAN",394455.49,142480.23,"CHURCHES",1,"",NA,"SEVENTH DAY ADVENTIST",NA
"63","CAPITAL SPANISH SEVENTH-DAY","CAPITALSPANISHDC.ADVENTISTCHURCH.ORG","4800 16TH ST NW",-77.0369036435908,38.9484836471405,396,"CHRISTIAN",396801.21,142287.18,"CHURCHES",1,"",NA,"SEVENTH DAY ADVENTIST",NA
"64","CAPITAL VIEW BAPTIST CHURCH","CAPVBC.ORG","5201 AMES STREET NORTHEAST",-76.9277185450848,38.8905442101272,767,"CHRISTIAN",406271,135857.25,"CHURCHES",1,"",NA,"BAPTIST",NA
"65","CAPITAL WESLEYAN CHURCH","WESLEYAN.ORG","3831 14TH ST NW",-77.0324682744186,38.9383667638231,397,"CHRISTIAN",397185.29,141163.97,"CHURCHES",1,"",NA,"WESLYAN","WESLYAN"
"66","CAPITOL HILL ADVENTIST CHURCH","CAPITOLHILLSDACHURCH.ORG","912 MASSACHUSETTS AVE NE",-76.9931599808195,38.8913001769412,48,"CHRISTIAN",400593.6,135938.71,"CHURCHES",1,"",NA,"SEVENTH DAY ADVENTIST",NA
"67","CAPITOL HILL PRESBYTERIAN CHR","CAPITOLHILLPRESCHURCH.ORG","201 4TH ST SE",-77.0008529132968,38.8873977647341,106,"CHRISTIAN",399926.2,135505.49,"CHURCHES",1,"",NA,"PRESBYTERIAN",NA
"68","CAPITOL HILL UNITED MTHDST CHR","CHUMC.NET","421 SEWARD SQ SE",-76.9998501418315,38.8852925989644,113,"CHRISTIAN",400013.2,135271.8,"CHURCHES",1,"",NA,"METHODIST",NA
"69","CAPITOL TEMPLE CHR-GOD","","3100 18TH ST NE",-76.9796361965834,38.9291887769254,217,"CHRISTIAN",401765.91,140144.83,"CHURCHES",1,"",NA,"CHURCH OF GOD – CONGREGATIONALIST","CHURCH OF GOD – CONGREGATIONALIST"
"70","CARRON BAPTIST CHURCH","","1354 1ST ST SW",-77.0118968513584,38.8737767446114,277,"CHRISTIAN",398967.84,133993.52,"CHURCHES",1,"",NA,"BAPTIST",NA
"71","CATHEDRAL OF ST MATTHEW THE APOSTLE","STMATTHEWSCATHEDRAL.ORG","1725 RHODE ISLAND AVE NW",-77.0402742254022,38.9063919902899,501,"CHRISTIAN",396506.97,137614.77,"CHURCHES",1,"",NA,"CATHOLIC",NA
"72","CELESTIAL CHURCH OF CHRIST","CCCUSADIOCESE.ORG","6200 CHILLUM PL NW",-77.0109788256416,38.9657147388741,409,"CHRISTIAN",399048.73,144199.4,"CHURCHES",1,"",NA,"",""
"73","CENTER FOR SPIRITUAL LIVING DC","CSLDC.ORG","400 E ST SW",-77.0195231629139,38.9760711176016,494,"CHRISTIAN",398308.49,145349.18,"CHURCHES",1,"",NA,"",""
"74","CENTRAL UNION BAPTIST CHURCH","CUBCDC.ORG","4401 FOOTE ST NE",-76.9389767425081,38.8973021205919,226,"CHRISTIAN",405293.79,136606.72,"CHURCHES",1,"",NA,"BAPTIST",NA
"75","CENTRO EVANGELISTICO","CENTROEVANGELISTICODC.ORG","4101 9TH ST NW",-77.0247326558854,38.9411469948684,479,"CHRISTIAN",397856.03,141472.39,"CHURCHES",1,"",NA,"EVANGELICAL",NA
"76","CHARITY BAPTIST CHURCH","","1601 23RD ST SE",-76.9734057164756,38.8705754386966,295,"CHRISTIAN",402308.04,133638.42,"CHURCHES",1,"",NA,"BAPTIST",NA
"77","Cherubim and Seraphim Church Ayo","","774 GIRARD STREET NW",-77.0250838286422,38.9255594890997,685,"CHRISTIAN",397825.11,139742.05,"CHURCHES",1,"pow_770",301933,"",""
"78","CHEVY CHASE BAPTIST CHURCH","CHEVYCHASEBAPTIST.ORG","5671 WESTERN AVE NW",-77.0781825119746,38.9662952815248,432,"CHRISTIAN",393224.65,144266.69,"CHURCHES",1,"",NA,"BAPTIST",NA
"79","CHEVY CHASE PRESBYTERIAN CHR","CHEVYCHASEPC.ORG","1 CHEVY CHASE CIR NW",-77.0757452225566,38.9672365362586,448,"CHRISTIAN",393435.96,144371,"CHURCHES",1,"",NA,"PRESBYTERIAN",NA
"80","CHINESE COMMUNITY CHURCH","CCCDC.COM","500 I ST NW",-77.0249963056921,38.9028820995766,544,"CHRISTIAN",397832.01,137224.67,"CHURCHES",1,"",NA,"",""
"81","Christ Apostolic Church","<Null>","4408 GEORGIA AVENUE NW",-77.0264381716468,38.9444953629106,630,"CHRISTIAN",397708.28,141844.13,"CHURCHES",1,"pow_236",252657,"PENTACOST",NA
"82","Christ Centered Missionary Baptist Church","","5325 EAST CAPITOL STREET SE",-76.9251045066227,38.8894652332455,629,"CHRISTIAN",406497.88,135737.66,"CHURCHES",1,"pow_235",288610,"BAPTIST",NA
"83","CHRIST CHURCH - GEORGETOWN","CHRISTCHURCHGEORGETOWN.ORG","3112 O STREET NORTHWEST",-77.061455209986,38.9082943135577,720,"CHRISTIAN",394669.96875,137826.96875,"CHURCHES",1,"",NA,"INTERDENOMINATIONAL","INTERDENOMINATIONAL"
"84","CHRIST CHURCH CAPITOL HILL","WASHINGTONPARISH.ORG","620 G ST SE",-76.9975060305305,38.8817137206721,108,"CHRISTIAN",400216.59,134874.52,"CHURCHES",1,"",NA,"INTERDENOMINATIONAL","INTERDENOMINATIONAL"
"85","CHRIST CHURCH ON EMBASSY ROW","www.REPRESENTJESUS.COM","3855 MASSACHUSETTS AVENUE NORTHWEST",-77.0761097676638,38.931432808275,728,"CHRISTIAN",393401.0625,140396.484375,"CHURCHES",1,"",NA,"",""
"86","CHRIST LUTHERAN CHURCH","CHRISTLUTHERANDC.ORG","5101 16TH ST NW",-77.035981133859,38.9521939933205,436,"CHRISTIAN",396881.34,142699.03,"CHURCHES",1,"",NA,"LUTHERAN",NA
"87","Christ Memorial Baptist","","702 JEFFERSON STREET NW",-77.0226172087133,38.9551015188987,654,"CHRISTIAN",398039.81,143021.42,"CHURCHES",1,"pow_268",250210,"BAPTIST",NA
"88","CHRIST OUR REDEEMER AFRICAN METHODIST EPISCOPAL CHURCH","","809 UPSHUR STREET NORTHWEST",-77.0241178477709,38.9422019762044,751,"CHRISTIAN",397909.375,141589.484375,"CHURCHES",1,"",NA,"EPISCOPAL",NA
"89","CHRIST OUR SHEPHERD CHURCH","CHRISTOURSHEPHERD.ORG","801 N CAROLINA AVE SE",-76.9943869372463,38.8877972448342,109,"CHRISTIAN",400487.18,135549.85,"CHURCHES",1,"",NA,"",""
"90","CHRIST UNITED METHODIST CHURCH","CUMCDC.ORG","900 4TH ST SW",-77.0167290096091,38.8788923817612,474,"CHRISTIAN",398548.63,134561.46,"CHURCHES",1,"",NA,"METHODIST",NA
"91","CHRIST UNIVERSAL CHURCH","CHRISTUNIVERSALCHURCH.ORG","111 KENNEDY ST NW",-77.012223506446,38.9568988655114,439,"CHRISTIAN",398940.73,143220.77,"CHURCHES",1,"",NA,"UNITARIAN/UNIVERSALISTS",NA
"92","CHRISTIAN LOVE BAPTIST CHURCH","","818 BLADENSBURG RD NE",-76.9830030699854,38.9013149127656,55,"CHRISTIAN",401474.55,137050.54,"CHURCHES",1,"",NA,"BAPTIST",NA
"93","CHRISTIAN PRAISE CHURCH","","3628 ALABAMA AVE SE",-76.9559716561664,38.8640592468723,375,"CHRISTIAN",403821.31,132915.66,"CHURCHES",1,"",NA,"FULL GOSPEL","FULL GOSPEL"
"94","CHRISTIAN TABERNACLE CHURCH OF GOD","CTCOGINC.ORG","2033 11TH ST NW",-77.0267933943218,38.9179226624878,2,"CHRISTIAN",397676.62,138894.34,"CHURCHES",1,"",NA,"EVANGELICAL",NA
"95","CHURCH-THE LIVING GOD PILLAR","","1206 4TH ST NW",-77.0163878698389,38.9059600671376,3,"CHRISTIAN",398578.77,137566.18,"CHURCHES",1,"",NA,"",""
"96","CHURCH-THE LORD JESUS CHRIST","TCLJC.COM","1230 C ST NE",-76.9891435464536,38.893835008895,58,"CHRISTIAN",400942.01,136220.13,"CHURCHES",1,"",NA,"PENTECOSTAL","PENTECOSTAL"
"97","CHURCH-THE NATIVITY-OUR LORD","","6000 GEORGIA AVE NW",-77.0282292754927,38.9628559605776,440,"CHRISTIAN",397553.64,143882.37,"CHURCHES",1,"",NA,"",""
"98","CHURCH-THE REDEEMER","REDEEMERPRESBYDC.ORG","1423 GIRARD ST NE",-76.9845329556382,38.9265350474604,276,"CHRISTIAN",401341.37,139850.16,"CHURCHES",1,"",NA,"PRESBYTERIAN","PRESBYTERIAN"
"99","CHURCH IN THE FIELD","THECHURCHINTHEFIELD.COM","3754 MLK JR AVE SE # 101",-77.0069616233383,38.8362187464677,520,"CHRISTIAN",399395.78,129824.27,"CHURCHES",1,"",NA,"",""
"100","CHURCH IN THE LORD JESUS","","1524 GOOD HOPE RD SE",-76.9829749340853,38.866560105552,376,"CHRISTIAN",401477.71,133192.49,"CHURCHES",1,"",NA,"",""
"101","CHURCH OF CHRIST","COC16TH.ORG","4801 16TH ST NW",-77.0359391334222,38.9485190799393,437,"CHRISTIAN",396884.82,142291.08,"CHURCHES",1,"",NA,"",""
"102","CHURCH OF GOD","WASHINGTONDCWMSCOG.COM","700 A ST NE",-76.9959301081294,38.8911374348475,57,"CHRISTIAN",400353.28,135920.63,"CHURCHES",1,"",NA,"PENTECOSTAL","PENTECOSTAL"
"103","Church of God of Prophecy - Capitol Hill","","1400 E STREET NE",-76.9852953718683,38.8963136008148,661,"CHRISTIAN",401275.8,136495.32,"CHURCHES",1,"pow_313",149978,"CHURCH OF GOD – CONGREGATIONALIST","CHURCH OF GOD – CONGREGATIONALIST"
"104","CHURCH OF JESUS CHRIST","COJC.ORG","3456 PENNSYLVANIA AVE SE",-76.9537030969292,38.8669489898266,377,"CHRISTIAN",404018.03,133236.54,"CHURCHES",1,"",NA,"NON-DENOMINATIONAL","NON-DENOMINATIONAL"
"105","CHURCH OF OUR LORD JESUS CHRIST","","420 56TH ST NE",-76.9207852364474,38.8956455528324,350,"CHRISTIAN",406872.01,136424.04,"CHURCHES",1,"",NA,"",""
"106","CHURCH OF OUR SAVIOUR","","1616 IRVING STREET NORTHEAST",-76.9817274593227,38.9292813136256,738,"CHRISTIAN",401584.59375,140155.0625,"CHURCHES",1,"",NA,"EPISCOPAL","EPISCOPAL"
"107","CHURCH OF ST MONICA & ST JAMES","STMONICA-STJAMES.ORG","222 8TH ST NE",-76.995223400295,38.8928895366674,60,"CHRISTIAN",400414.58,136115.13,"CHURCHES",1,"",NA,"EPISCOPAL","EPISCOPAL"
"108","CHURCH OF THE ANNUNCIATION","<Null>","3125 39TH ST NW",-77.0768084727233,38.9300156949269,411,"CHRISTIAN",393340.34,140239.23,"CHURCHES",1,"",NA,"EPISCOPAL","EPISCOPAL"
"109","CHURCH OF THE ASCENSION AND SAINT AGNES","ASA-DC.ORG","1217 MASSACHUSETTS AVENUE NORTHWEST",-77.0284118705521,38.9048285466938,739,"CHRISTIAN",397535.8125,137440.828125,"CHURCHES",1,"",NA,"EPISCOPAL","EPISCOPAL"
"110","CHURCH OF THE ASSUMPTION OF THE BLESSED VIRGIN MARY","ASSUMPTIONDC.ORG","3411 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST",-77.0041391520964,38.8411991865313,744,"CHRISTIAN",399640.84375,130377.1171875,"CHURCHES",1,"",NA,"",""
"111","CHURCH OF THE EPIPHANY","EPIPHANYDC.ORG","1317 G ST NW",-77.0304722323536,38.8986651575189,101,"CHRISTIAN",397356.87,136756.7,"CHURCHES",1,"",NA,"EPISCOPAL",NA
"112","CHURCH OF THE FIRST BORN","","2451 AINGER PL SE",-76.9702562816109,38.8555550330092,595,"CHRISTIAN",402581.89,131971.13,"CHURCHES",1,"",NA,"",""
"113","CHURCH OF THE HOLY CITY","SWEDENBORGCENTER.ORG","1611 16TH ST NW",-77.0361237560652,38.9117326842691,172,"CHRISTIAN",396867.2,138207.48,"CHURCHES",1,"",NA,"NON-DENOMINATIONAL","NON-DENOMINATIONAL"
"114","CHURCH OF THE INCARNATION","INCARNATIONDC.ORG","880 EASTERN AVE NE",-76.9205486233719,38.9012967906606,349,"CHRISTIAN",406891.99,137051.39,"CHURCHES",1,"",NA,"",""
"115","CHURCH OF THE NATIVITY","NATIVITYCHURCH.NET","6001 13TH ST NW",-77.0290534947092,38.9632223045102,438,"CHRISTIAN",397482.22,143923.06,"CHURCHES",1,"",NA,"",""
"116","CHURCH OF THE PILGRAMS","CHURCHOFTHEPILGRIMS.COM","2201 P ST NW",-77.0493223299953,38.9103430053921,503,"CHRISTIAN",395722.41,138053.75,"CHURCHES",1,"",NA,"",""
"117","CHURCH OF THE SAVIOR","<Null>","2025 MASSACHUSETTS AVE NW",-77.0461372227526,38.9109069677458,516,"CHRISTIAN",395998.69,138116.21,"CHURCHES",1,"",NA,"NON-DENOMINATIONAL","NON-DENOMINATIONAL"
"118","CHURCH UNITED SPANISH","IPUHDC.ORG","811 K ST NE",-76.994333920165,38.9022716181509,61,"CHRISTIAN",400491.68,137156.62,"CHURCHES",1,"",NA,"PENTECOSTAL","PENTECOSTAL"
"119","CITIZEN HEIGHTS CHURCH","CITIZENHEIGHTS.COM","4100 RIVER RD NW",-77.0811522875717,38.9489700918673,420,"CHRISTIAN",392965.57,142343.66,"CHURCHES",1,"",NA,"",""
