OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,X,Y,ADDRID,ZIP_CODE,LONGITUDE,LATITUDE
16,Cardozo Education Campus,1200 CLIFTON STREET NW,High School,HS,Active,202-673-7385,,477, ,dcps_454,http://www.cardozohs.com/,294513,454,454,N,1565,1926,355400,1100,1267,397531.11,139367.02,294513,20009,-77.02847069,38.92217286
17,Brightwood Education Campus,1300 NICHOLSON STREET NW,Elementary School,ES,Active,202-722-5670,,549, ,dcps_213,http://www.brightwoodec.org/,294515,213,213,Y,,,,,,397340.19,143625.7,294515,20011,-77.03068885,38.96053573
18,Youth Services Center,1000 MOUNT OLIVET ROAD NE,Youth Engagement,YE,Active,202-576-8388,67,67, ,dcps_948,http://dyrs.dc.gov/service/youth-services-center,290013,0, ,N,90,2004,,,,400989.94,138252.92,290013,20002,-76.98858584,38.91213959
19,Hearst Elementary School,3950 37TH STREET NW,Elementary School,ES,Active,202-282-0106,,257, ,dcps_258,http://www.hearstes.org/,294586,258,258,N,181,1932,17400,325,161,393761.89,141428.28,294586,20008,-77.07195522,38.94072265
20,Hendley Elementary School,425 CHESAPEAKE STREET SE,Elementary School,ES,Active,202-645-3450,,341, ,dcps_249,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,24445,249,249,N,559,1959,73200,325,207,400070.78,129022.18,24445,20032,-76.99918485,38.82898591
21,Randle Highlands Elementary School,1650 30TH STREET SE,Elementary School,ES,Active,202-729-3250,,384, ,dcps_316,http://www.randlehighlandselementary.org/,156337,316,316,N,520,2003,,,,403093.17,133585.82,156337,20020,-76.96435628,38.87009174
22,Duke Ellington School of the Arts,3500 R STREET NW,High School/Specialized,HS,Active,202-282-0123,1,517, ,dcps_471,http://www.ellingtonschool.org,242979,471,471,N,500,1898,167500,700,463,393902.4,138400.27,294569,20007,-77.070308,38.913446
23,Thomas Elementary School,650 ANACOSTIA AVENUE NE,Elementary School,ES,Active,202-724-4593,,235, ,dcps_325,http://www.nevalthomas.org/,294493,325,325,N,636,1946,87600,325,287,404154.01,137048.33,294493,20019,-76.95211091,38.90127897
24,Nalle Elementary School,219 50TH STREET SE,Elementary School,ES,Active,202-671-6280,,327, ,dcps_288,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294474,288,288,N,460,1950,83900,400,383,406004.16,135348.37,294474,20019,-76.93079651,38.88595442
25,Marie Reed Elementary School,2201 18TH STREET NW,Elementary School,ES,Active,202-673-7308,0,357, ,dcps_284,http://mariereedes.org/,310614,284,284,N,,,,,,396459.87,139027.66,310614,20009,-77.040822,38.919112
26,Orr Elementary School,2200 MINNESOTA AVENUE SE,Elementary School,ES,Active,202-671-6240,,308, ,dcps_291,http://www.orrelementary.org/,294539,291,291,N,,,,,,402214.23,133774.84,294539,20020,-76.97448402,38.87179716
27,H.D. Cooke Elementary School,2525 17TH STREET NW,Elementary School,ES,Active,202-939-5390,,396, ,dcps_227,http://www.hdcookeschool.org/,235863,227,227,N,,,,,,396634.55,139563.86,235863,20009,-77.03881058,38.92394309
28,Beers Elementary School,3600 ALABAMA AVENUE SE,Elementary School,ES,Active,202-939-4800,,386, ,dcps_206,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,278406,206,206,N,448,1942,77500,400,330,403852.94,132948.76,278406,20020,-76.95560475,38.86434984
29,Sousa Middle School,3650 ELY PLACE SE,Middle School,MS,Active,202-729-3260,,348, ,dcps_427,http://www.sousamiddleschool.org/,294584,427,427,N,,,,,,404064.1,135118.46,294584,20019,-76.95315884,38.88389441
30,Deal Middle School,3815 FORT DRIVE NW,Middle School,MS,Active,202-939-2010,,1014, ,dcps_405,http://alicedeal.org/,277548,405,405,N,900,1931,180000,850,,393481.78,142779.94,277548,20016,-77.07519907,38.95289674
31,Aiton Elementary School,533 48TH PLACE NE,Elementary School,ES,Active,202-671-6060,,269, ,dcps_202,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294490,202,202,N,479,1960,57100,400,357,405751.28,136574.53,294490,20019,-76.93370092,38.89700181
32,Drew Elementary School,5600 EADS STREET NE,Elementary School,ES,Active,202-671-6040,,181, ,dcps_231,http://www.drewelementary.org/,277686,231,231,N,,,,,,406946.23,136463.61,277686,20019,-76.91992701,38.89599397
33,Luke C. Moore High School,1001 MONROE STREET NE,Youth Engagement,YE,Active,202-281-3600,0,293, ,dcps_884,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294504,884,884,N,,,,,,400666.21,140488.24,294504,20017,-76.99231633,38.93227638
34,Lafayette Elementary School,5701 BROAD BRANCH ROAD NW,Elementary School,ES,Active,202-282-0116,,707, ,dcps_261,http://www.lafayettehsa.org,294611,261,261,N,486,1931,113600,550,623,394103.71,144303.7,294611,20015,-77.06803712,38.96662755
35,Miner Elementary School,601 15TH STREET NE,Elementary School,ES,Active,202-397-3960,,469, ,dcps_280,http://www.minerelementary.org/,289548,280,280,N,,,,,,401483,136614.12,289548,20002,-76.98290432,38.89737602
36,Hart Middle School,601 MISSISSIPPI AVENUE SE,Middle School,MS,Active,202-671-6426,,530, ,dcps_413,http://www.charleshartmiddle.org/,5534,413,413,Y,1110,1956,210700,550,524,400244.94,129993.71,5534,20032,-76.99717875,38.83773787
37,Whittier Education Campus,6201 5TH STREET NW,Elementary School,ES,Active,202-576-6156,,346, ,dcps_338,http://www.whittierdc.org/,294614,338,338,Y,517,1926,66600,600,365,398332.71,144216.17,294614,20011,-77.0192386,38.96585727
38,Garrison Elementary School,1200 S STREET NW,Elementary School,ES,Active,202-673-7263,,237, ,dcps_239,http://www.garrisonelementary.org/,294509,239,239,N,474,1964,60200,325,240,397518.52,138448.81,294509,20009,-77.02861256,38.91390129
39,Woodson High School,540 55TH STREET NE,High School,HS,Active,202-724-4632,,810, ,dcps_426,http://www.hdwoodsonwarriors.org/,309633,425,425,N,1085,1967,156000,450,263,406737.85,136551.42,309633,20016,-76.92232826,38.89678662
40,Wilson High School,3950 CHESAPEAKE STREET NW,High School,HS,Active,202-282-0120,4,1633,,dcps_463,http://www.wilsonhs.org/,294587,463,463,N,1485,1935,271300,1600,1557,393258.18,142475.96,294587,20016,-77.0777757,38.95015672
41,Stoddert Elementary School,4001 CALVERT STREET NW,Elementary School,ES,Active,202-671-6030,,347, ,dcps_321,http://www.stoddert.org,224730,321,321,N,213,1932,17400,325,260,393143.05,139466.38,224730,20007,-77.0790738,38.92304465
42,Amidon-Bowen Elementary School,401 I STREET SW,Elementary School,ES,Active,202-724-4867,0,254, ,dcps_203,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294482,203,203,N,438,1960,70800,400,227,398427.29,134631.47,294482,20024,-77.0181253,38.8795154
43,Simon Elementary School,401 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3360,,252, ,dcps_315,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294481,315,315,N,549,1950,66200,325,259,399983.07,129798.63,294481,20032,-77.000195,38.83598054
44,Stuart-Hobson Middle School,410 E STREET NE,Middle School,MS,Active,202-671-6010,,403, ,dcps_428,http://www.capitolhillclusterschool.org/our-schools/stuart-hobson-middle-school,294483,428,428,Y,460,1927,105900,450,393,399999.62,136494.28,294483,20002,-77.00000438,38.8962977
45,Janney Elementary School,4130 ALBEMARLE STREET NW,Elementary School,ES,Active,202-282-0110,,548, ,dcps_254,http://www.janneyschool.org/,285713,254,254,N,364,1925,98200,550,484,392978.88,142186.88,285713,20016,-77.08099483,38.94755042
46,Watkins Elementary School,420 12TH STREET SE,Elementary School,ES,Active,202-698-3355,,521, ,dcps_333,http://www.capitolhillclusterschool.org/our-schools/watkins-elementary,294486,333,333,N,578,1962,69300,550,538,400867.92,135070.02,294486,20003,-76.98999677,38.88346701
47,Leckie Elementary School,4201 MARTIN LUTHER KING JR AVENUE SW,Elementary School,ES,Active,202-645-3330,,361, ,dcps_266,http://www.leckielionsdc.org/,294592,266,266,N,471,1970,65000,400,302,398880.58,128934.66,294592,20032,-77.01289191,38.82819678
48,Stanton Elementary School,2701 NAYLOR ROAD SE,Elementary School,ES,Active,202-671-6180,,355, ,dcps_319,http://dcscholars.org/stanton/,294547,319,319,N,547,1944,83800,400,379,402734.84,132384.63,294547,20020,-76.96849023,38.85927211
49,Ludlow-Taylor Elementary School,659 G STREET NE,Elementary School,ES,Active,202-698-3244,0,258, ,dcps_271,http://www.ludlowtaylor.org,294494,271,271,N,,,,,,400304.26,136765.86,294494,20002,-76.99649249,38.89874414
50,J.O. Wilson Elementary School,660 K STREET NE,Elementary School,ES,Active,202-698-4733,0,382, ,dcps_339,http://www.jowilsonelementary.org/,288841,339,339,N,412,1961,98900,400,360,400295.87,137211.43,288841,20002,-76.99658902,38.902758
51,Shepherd Elementary School,7800 14TH STREET NW,Elementary School,ES,Active,202-576-6140,,331, ,dcps_313,http://www.shepherd-elementary.org,256319,313,313,N,332,1932,79700,400,312,397054.62,146297.53,256319,20012,-77.03399523,38.98460328
52,West Education Campus,1338 FARRAGUT STREET NW,Elementary School,ES,Active,202-576-6226,,244, ,dcps_336,http://www.westschool.org/,294517,336,336,N,281,1978,69600,450,190,397204.26,142607.98,294517,20011,-77.03225306,38.95136741
53,Powell Elementary School,1350 UPSHUR STREET NW,Elementary School,ES,Active,202-671-6270,,310, ,dcps_300,http://www.powellbilingualelementary.com/,255302,300,300,N,304,1925,38500,325,258,397292.79,141516.39,255302,20011,-77.03122742,38.94153434
54,Eastern High School,1700 EAST CAPITOL STREET NE,High School,HS,Active,202-698-4500,,303, ,dcps_457,http://www.easternhighschooldc.org/,289529,457,457,N,1425,1923,288800,6,915,401762.5,135840.08,289529,20003,-76.97968429,38.89040266
55,Kramer Middle School,1700 Q STREET SE,Middle School,MS,Active,202-939-3150,,277, ,dcps_417,http://www.myschooldc.org/schools/profile/56/,289467,417,417,N,655,1943,154000,550,340,401720.71,133718.02,289467,20020,-76.9801713,38.8712864
56,Ross Elementary School,1730 R STREET NW,Elementary School,ES,Active,202-673-7200,,157, ,dcps_305,http://www.rosselementary.org/,241714,305,305,N,,,,,,396560.15,138281.53,241714,20009,-77.03966214,38.91239115
57,Savoy Elementary School,2400 SHANNON PLACE SE,Elementary School,ES,Active,202-939-2000,0,344, ,dcps_307,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,278153,307,307,N,479,1968,64800,450,191,400555.08,132781.57,278153,20020,-76.99360426,38.86285199
58,Bancroft Elementary School,1755 NEWTON STREET NW,Elementary School,ES,Active,202-673-7280,,463, ,dcps_204,http://www.bancroftelementary.org,294528,204,204,N,527,1924,79800,450,451,396483.93,140715.67,294528,20010,-77.04055344,38.93431836
59,Hardy Middle School,1819 35TH STREET NW,Middle School,MS,Active,202-729-4350,,412, ,dcps_246,http://www.hardyms.org,274432,246,246,Y,,,,,,394049.46,138629.13,274432,20007,-77.0686139,38.91550903
60,Garfield Elementary School,2435 ALABAMA AVENUE SE,Elementary School,ES,Active,202-671-6140,,240, ,dcps_238,http://www.myschooldc.org/schools/profile/37/,278160,238,238,N,446,1977,58908,400,322,402534.22,131547.71,278160,20020,-76.97080478,38.85173338
61,Walker-Jones Education Campus,1125 NEW JERSEY AVENUE NW,Education Campus,EC,Active,202-939-5934,,418, ,dcps_332,http://walkerjoneseducampus.org/,307735,332,332,N,,,,,,398792.97,137370.7,307735,20001,-77.01391569,38.90419198
62,Tyler Elementary School,1001 G STREET SE,Elementary School,ES,Active,202-939-4810,,402, ,dcps_330,http://www.tylerelementary.net,294505,330,330,N,452,1949,69600,400,265,400690.52,134805.51,294505,20003,-76.99204166,38.88108436
63,School Without Walls High School,2130 G STREET NW,High School/Specialized,HS,Active,202-645-9690,19,527, ,dcps_466,http://www.swwhs.org/,242528,466,466,N,,1935,47200,,,395820.01,136698.13,242528,20037,-77.04818647,38.89812412
64,Houston Elementary School,1100 50TH PLACE NE,Elementary School,ES,Active,202-671-6170,,223, ,dcps_251,http://www.myschooldc.org/schools/profile/44/,156316,251,251,N,507,1962,59900,325,289,406076.15,137508.74,156316,20019,-76.92994765,38.90541532
65,Barnard Elementary School,430 DECATUR STREET NW,Elementary School,ES,Active,202-576-1100,,482, ,dcps_205,http://www.myschooldc.org/schools/profile/7/,248305,205,205,N,387,2003,,,,398458.99,142259.46,248305,20011,-77.01777708,38.94823095
66,Patterson Elementary School,4399 SOUTH CAPITOL TERRACE SW,Elementary School,ES,Active,202-939-5280,,320, ,dcps_294,http://www.myschooldc.org/schools/profile/82/,301073,294,294,N,,2004,78300,368,,399263.25,128798.03,301073,20032,-77.00848471,38.82696636
67,Roosevelt High School,4301 13TH STREET NW,High School,HS,Active,202-576-6130,,497, ,dcps_459,http://roosevelt.k12.dc.us/,252605,459,459,N,1055,1932,331900,1100,845,397468.88,141682.3,252605,20011,-77.029197,38.943029
68,Smothers Elementary School,4400 BROOKS STREET NE,Elementary School,ES,Active,202-939-3600,,242, ,dcps_322,http://www.myschooldc.org/schools/profile/104/,294596,322,322,N,332,1923,43000,325,186,405337.95,136191.51,294596,20019,-76.93846864,38.89355404
69,Mann Elementary School,4430 NEWARK STREET NW,Elementary School,ES,Active,202-282-0126,,290, ,dcps_273,http://www.horacemanndc.org/,294597,273,273,N,,,,,,392385.28,140715.66,294597,20016,-77.08782619,38.93429231
70,Plummer Elementary School,4601 TEXAS AVENUE SE,Elementary School,ES,Active,202-939-4360,,220, ,dcps_299,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,19536,299,299,N,,,,,,405211.23,135490.54,19536,20019,-76.93993468,38.8872402
71,Burroughs Elementary School,1820 MONROE STREET NE,Elementary School,ES,Active,202-576-6150,,296, ,dcps_220,http://www.jbecstem.com/,294530,220,220,Y,474,1980,63900,450,240,401867.9,140624.56,294530,20018,-76.97845637,38.93350266
72,Cleveland Elementary School,1825 8TH STREET NW,Elementary School,ES,Active,202-939-4380,,301, ,dcps_224,http://clevelandesdc.org/,294531,224,224,N,,1911,54427,276,,398030.71,138586.76,294531,20001,-77.02270718,38.91514529
73,Eliot-Hine Middle School,1830 CONSTITUTION AVENUE NE,Middle School,MS,Active,202-939-5380,0,348, ,dcps_407,http://www.eliothinemiddleschool.org/,286499,407,407,Y,850,1931,155100,450,155,401823.73,136065.31,286499,20002,-76.97897792,38.89243149
74,Langdon Elementary School,1900 EVARTS STREET NE,Elementary School,ES,Active,202-576-6048,,404, ,dcps_262,http://langdondc.com/,294532,262,262,N,528,1930,101400,450,408,401987.32,139647.88,294532,20018,-76.97708185,38.92470416
75,Ketcham Elementary School,1919 15TH STREET SE,Elementary School,ES,Active,202-698-1122,,256, ,dcps_257,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,286537,257,257,N,461,1909,88300,325,356,401421.44,133135.87,286537,20020,-76.98362116,38.86604269
76,Fillmore Arts Center (West),1819 35TH STREET NW,Arts Center,AC,Active,202-729-3796,0,0, ,dcps_923,http://www.fillmoreartscenter.org/,274432,0,0,N,,,,,,394049.46,138629.13,274432,20007,-77.0686139,38.91550903
77,Oyster-Adams Bilingual School (Adams),2020 19TH STREET NW,Middle School,MS,Active,202-673-7311,0,321, ,dcps_949,http://oysteradamsbilingual.org/,294534,292,292,N,,,,,,396151.48,138827.7,294534,20009,-77.04437725,38.91730954
78,"Phelps Architecture, Construction, and Engineering High School",704 26TH STREET NE,High School/Specialized,HS,Active,202-729-4360,,329, ,dcps_478,http://phelpshsdc.org/,294495,0, ,N,,1912,205776,600,,402437.64,137126.77,294495,20002,-76.97189763,38.90199202
79,Washington Metropolitan High School,300 BRYANT STREET NW,Youth Engagement,YE,Active,202-671-1788,,253, ,dcps_474,http://washingtonmetropolitanhs.org/,294475,0, ,N,,,,,,398648.513,139173.29,294475,20001,-77.01558101,38.92043047
80,Fillmore Arts Center (East),915 SPRING ROAD NW,Arts Center,AC,Active,202-576-9709,0,0, ,dcps_922,http://www.fillmoreartscenter.org/,226682,0,0,N,,,,,,397708.28,140880.94,226682,20010,-77.02643266,38.93581121
81,Ballou High School,3401 4TH STREET SE,High School,HS,Active,202-645-3400,,910, ,dcps_452,http://www.balloudc.org/,294567,452,452,N,1565,1960,271300,1200,1267,399915.33,130176.29,294567,20032,-77.00097526,38.83938266
82,Moten Elementary School,1565 MORRIS ROAD SE,Elementary School,ES,Active,202-698-1111,0,315, ,dcps_920,http://www.myschooldc.org/schools/profile/75/,294524,285,285A,N,,1976,144900,,,401480.43,132093.89,294524,20020,-76.98294368,38.856656
83,Ballou STAY High School,3401 4TH STREET SE,Youth Engagement,STAY,Active,202-645-3390,735,735, ,dcps_914,http://www.balloustay.com/,294567,452,452A,N,,,,,,399915.33,130176.29,294567,20032,-77.00097526,38.83938266
84,Truesdell Education Campus,800 INGRAHAM STREET NW,Elementary School,ES,Active,202-576-6202,,423, ,dcps_327,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294497,327,327,N,471,1908,69600,450,286,397826.84,142896.55,294497,20011,-77.02507158,38.95396869
85,Murch Elementary School,4810 36TH STREET NW,Elementary School,ES,Active,202-282-0130,,556, ,dcps_287,http://www.murchschool.org,294602,287,287,N,,,,,,393925.57,142783.67,294602,20008,-77.07007921,38.95293352
86,Dunbar High School,101 N ST NW,High School,HS,Active,202-698-3762,,514, ,dcps_467,http://www.dunbarhsdc.org/,309947,467,940,N,1095,1977,343400,1600,973,398899.21,137751.95,309947,20001,-77.012691,38.907627
87,C.H.O.I.C.E. Academy @ Emery,1720 1ST STREET NE,Youth Engagement,YE,Active,202-939-4350,23,23, ,dcps_924,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294527,473,947,N,,,,,,399412.34,138404.24,294527,20002,-77.00677594,38.9135031
88,School-Within-School @ Goding,920 F STREET NE,Elementary School/Specialized,ES,Active,202-673-8275,,84,,dcps_201,http://www.schoolwithinschool.org,289072,,,N,,,,,,400591.35,136634.98,289072,20002,-76.99318304,38.89756498
89,Takoma Education Campus,7010 PINEY BRANCH ROAD NW,Elementary School,ES,Active,202-671-6050,,306, ,dcps_3241,http://www.takomaec.us/,250934,3241,3241,Y,467,1976,119000,450,296,398024.76,145235.93,250934,20012,-77.02279493,38.97504287
90,Capitol Hill Montessori @ Logan,215 G STREET NE,Elementary School/Specialized,ES,Active,202-698-4467,0,211, ,dcps_960,http://capitolhillmontessorischool.org/,286687,0,0,N,,,,,,399777.37,136742.12,286687,20002,-77.00256647,38.89853031
91,Langley Elementary School,101 T STREET NE,Elementary School,ES,Active,202-576-6034,,375, ,dcps_965,http://www.langleyelementary.org/,285757,0,0,N,,,,,,399489.48,138589.14,285757,20002,-77.00588662,38.91516879
92,Jefferson Middle School Academy,801 7TH STREET SW,Middle School,MS,Active,202-729-3270,,89, ,dcps_415,http://www.jeffersontrojans.org/,276812,415,415,Y,900,1940,109000,450,408,398012.08,134671.03,276812,20024,-77.02291066,38.87987093
93,McKinley Middle School,151 T STREET NE,Middle School,MS,Active,202-281-3950,0,670, ,dcps_970,http://www.mckinleytech.org/apps/pages/index.jsp?uREC_ID=234170&type=d,296345,458,458,N,,,,,,399642.48,138594.83,296345,20002,-77.00412244,38.91522012
94,Oyster-Adams Bilingual School (Oyster),2801 CALVERT STREET NW,Elementary School,ES,Active,202-671-6130,0,355, ,dcps_292,http://oysteradamsbilingual.org/,275944,292,292,N,,,,,,395039.6,139526.15,275944,20008,-77.05720337,38.92359583
95,School Without Walls @ Francis-Stevens,2425 N STREET NW,Education Campus,EC,Active,202-724-4841,,233, ,dcps_409,http://www.swwfs.org/,294544,409,409,N,520,1927,95100,450,165,395461.95,137735.74,294544,20037,-77.052321,38.9074695
96,Peabody Elementary School,425 C STREET NE,Elementary School,ES,Active,202-698-3277,,150, ,dcps_301,http://www.capitolhillclusterschool.org/our-schools/peabody-primary,288145,301,301,N,,,,,,400012.32,136116.7,288145,20002,-76.99985799,38.89289632
97,McKinley Technology High School,151 T STREET NE,High School/Specialized,HS,Active,202-281-3950,0,670, ,dcps_458,http://mckinleytech.org/,296345,458,458,N,,,,,,399642.48,138594.83,296345,20002,-77.00412244,38.91522012
98,Anacostia High School,1601 16TH STREET SE,High School,HS,Active,202-698-2155,,784, ,dcps_450,http://www.anacostiaindians.org/,155922,450,450,N,1040,1935,247900,1100,835,401468.56,133584.5,155922,20020,-76.98307725,38.87008406
99,Johnson Middle School,1400 BRUCE PLACE SE,Middle School,MS,Active,202-939-3140,0,252, ,dcps_416,http://www.johnsonmiddledc.org/,294520,416,416,N,,1969,277000,,,401414.57,131503.42,294520,20020,-76.98370368,38.85133691
100,Seaton Elementary School,1503 10TH STREET NW,Elementary School,ES,Active,202-673-7215,,265, ,dcps_309,http://seatondc.org/,279203,309,309,N,428,1969,65000,325,311,397841.92,138084.32,279203,20001,-77.02488247,38.9106187
101,Roosevelt STAY High School @ MacFarland,4301 13TH STREET NW,Youth Engagement,STAY,Active,202-576-8399,497,497, ,dcps_913,http://www.rooseveltstay.org/,252605,459,459A,N,,,,,,397468.88,141682.3,252605,20011,-77.029197,38.943029
102,Wheatley Education Campus,1299 NEAL STREET NE,Education Campus,EC,Active,202-939-5970,,475, ,dcps_335,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294512,335,335,N,625,1960,103700,400,327,400997.43,137362.43,294512,20002,-76.98850077,38.90411774
103,Noyes Elementary School,2725 10TH STREET NE,Elementary School,ES,Active,202-281-2580,,352, ,dcps_290,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289594,290,290,N,,,,,,400707.33,139700.26,289594,20018,-76.99184288,38.92517798
104,Benjamin Banneker High School,800 EUCLID STREET NW,High School/Specialized,HS,Active,202-671-6320,0,413, ,dcps_402,http://www.benjaminbanneker.org/,294496,402,402,N,620,1939,180000,500,391,397920.84,139551.17,294496,20001,-77.02397697,38.92383276
105,Burrville Elementary School,801 DIVISION AVENUE NE,Elementary School,ES,Active,202-671-6020,,368, ,dcps_221,http://www.burrvillees.org/,289787,221,221,N,322,1980,95000,450,424,406552.65,136970.78,289787,20019,-76.92445918,38.90056577
106,Browne Education Campus,850 26TH STREET NE,Education Campus,EC,Active,202-671-6210,,384, ,dcps_404,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294501,404,404,Y,835,1932,215400,750,211,402544.36,137194.17,294501,20002,-76.97066706,38.90259888
107,Raymond Education Campus,915 SPRING ROAD NW,Elementary School,ES,Active,202-576-6236,,442, ,dcps_302,http://raymondeducationcampus.org/,226682,302,302,N,,,,,,397708.28,140880.94,226682,20010,-77.02643266,38.93581121
108,Key Elementary School,5001 DANA PLACE NW,Elementary School,ES,Active,202-729-3280,,386, ,dcps_272,http://keyschooldc.org/dcps/,294605,272,272,N,,1929,,,,391283.15,139885.29,294605,20016,-77.10052732,38.92680184
109,Brent Elementary School,301 NORTH CAROLINA AVENUE SE,Elementary School,ES,Active,202-698-3363,,347, ,dcps_212,http://brentelementary.org/,294479,212,212,N,276,1968,47500,325,203,399873.34,135218.08,294479,20003,-77.00145985,38.88480121
110,Eaton Elementary School,3301 LOWELL STREET NW,Elementary School,ES,Active,202-282-0103,,457, ,dcps_232,http://www.eatondc.org/,294562,232,232,N,418,1911,49100,400,412,394293.04,140540.3,294562,20008,-77.06582114,38.93272707
